Simulation Total Time;3589833
Total Number of Sensed Events by the WSN;127677
Number of Sensed Events by the WSN per Day
1;3251
2;3237
3;3297
4;3263
5;3212
6;3260
7;3219
8;3318
9;3274
10;3212
11;3293
12;3209
13;3251
14;3223
15;3226
16;3246
17;3245
18;3244
19;3217
20;3210
21;3245
22;3264
23;3275
24;3250
25;3226
26;3293
27;3244
28;3269
29;3292
30;3288
31;3225
32;3295
33;3289
34;3207
35;3266
36;3274
37;3232
38;3170
39;2621
40;1545
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;126395;42491;0;5636;3560411,720667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;219924;89540;0;6295;3450296,093335
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;450980;136683;1;6278;3452846,568669
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;314260;320575;0;6316;3445409,883339
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;450541;136281;1;6315;3446682,314002
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;218899;88934;1;6316;3446799,729335
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;125488;42156;1;5602;3566080,397334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;113829;36855;0;6281;3452945,536667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;198698;40946;1;6941;3342920,990667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;250573;40865;0;7037;3326921,476667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;432815;41354;0;7005;3332251,876
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;250597;41032;1;6958;3340087,141334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;197897;40672;1;6915;3347255,968
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;112970;36554;1;6245;3458947,342667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;95156;30574;1;6278;3453483,222667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;131412;34005;1;6988;3335129,303334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;136018;33865;1;7017;3330296,81
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;136695;34361;0;6959;3339960,500667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;136331;34092;0;6913;3347628,781334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;131249;33775;1;6870;3354797,35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;94287;30309;1;6324;3445818,146
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;75548;24296;0;6325;3445687,557334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;104440;27017;0;6995;3334004,564667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;108276;26914;1;6922;3346171,849334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;108660;27402;0;7057;3323668,921334
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;108386;27179;0;7079;3320003,592667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;104012;26905;0;7037;3327005,236667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;74829;23985;1;6356;3440522,756667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;55985;17978;0;6319;3446725,465333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;77462;20030;1;6986;3335546,486667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;80299;19992;1;6967;3338713,381333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;80647;20345;0;7081;3319711,263333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;80422;20118;0;7065;3322379,292
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;77094;19926;1;6980;3336547,110667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;55363;17709;1;6257;3457060,412667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;36518;11704;1;6230;3461596,442667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;50486;13066;0;6951;3341421,604
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;52332;13025;0;6987;3335421,85
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;52499;13264;0;7094;3317587,082667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;52529;13127;0;6935;3344087,904667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;50113;12954;1;6969;3338422,276
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;35941;11481;1;6203;3466097,780667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;18011;5635;1;5635;3560799,523333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;24769;6307;1;6307;3448795,491333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;25714;6266;1;6266;3455629,070667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;25832;6382;1;6382;3436295,041333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;25646;6360;0;6360;3439961,84
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;24598;6187;1;6187;3468796,211333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;17668;5465;1;5465;3589133,876667
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;135041;0
