Simulation Total Time;1793807
Total Number of Sensed Events by the WSN;63830
Number of Sensed Events by the WSN per Day
1;3249
2;3259
3;3265
4;3288
5;3257
6;3184
7;3358
8;3314
9;3304
10;3274
11;3214
12;3256
13;3256
14;3200
15;3197
16;3227
17;3213
18;3284
19;3244
20;1981
21;6
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;63728;21349;1;2783;1786038,572666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;110821;45162;1;3191;1717895,694666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;226316;68862;1;3134;1727253,494666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;157486;160595;1;3109;1730869,763332
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;225612;68209;1;3164;1722257,412666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;109680;44592;0;3122;1729399,114666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;62940;21087;1;2739;1793373,478
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;57350;18566;0;3188;1718555,270666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;99785;20734;0;3564;1655875,596
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;126309;20566;1;3475;1670709,937333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;217032;20415;0;3462;1672877,51
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;125502;20481;0;3449;1675043,780666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;99172;20496;1;3491;1668043,690666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;56667;18348;0;3148;1725223,245333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;47977;15378;0;3195;1717407,732
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;66438;17228;0;3497;1667063,298666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;68348;17091;0;3488;1668564,120666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;67990;16953;0;3491;1668064,948666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;67952;17032;1;3497;1667064,474666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;65522;17005;0;3570;1654897,97
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;47395;15200;1;3156;1723908,8
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;38203;12242;0;3149;1725093,214666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;52882;13732;0;3489;1668417,608
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;54436;13615;1;3464;1672584,976666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;54059;13462;0;3492;1667919,228
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;53924;13535;0;3526;1662252,123333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;52035;13445;0;3563;1656085,996666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;37460;12044;0;3211;1714761,069333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;28430;9093;0;3148;1725278,775333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;39344;10243;1;3527;1662105,208667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;40420;10151;0;3529;1661772,427333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;40010;9970;1;3546;1658940,18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;39817;10009;0;3557;1657106,612667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;38633;9962;0;3431;1678106,894667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;27838;8910;1;3078;1736946,54
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;18574;5945;0;3174;1720964,33
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;25700;6716;0;3561;1656459,704
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;26389;6622;0;3532;1661293,601333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;26007;6439;1;3513;1664461,366
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;25957;6489;1;3511;1664794,399333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;25073;6531;0;3515;1664127,480667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;18123;5832;1;3135;1727465,008
