Simulation Total Time;1798252
Total Number of Sensed Events by the WSN;63795
Number of Sensed Events by the WSN per Day
1;3241
2;3232
3;3303
4;3243
5;3223
6;3263
7;3236
8;3260
9;3249
10;3255
11;3216
12;3277
13;3310
14;3221
15;3237
16;3234
17;3222
18;3377
19;3220
20;1976
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;63577;21256;1;2729;1795039,130666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;110851;45050;1;3068;1738396,366666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;226337;68869;1;3110;1731253,452666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;157418;160578;0;3161;1722203,198665
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;225662;68226;1;3142;1725923,977333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;109732;44653;0;3147;1725232,082
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;62742;20920;1;2831;1778041,146666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;57386;18527;1;3114;1730888,838
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;100476;20815;1;3468;1671875,11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;126593;20727;0;3472;1671208,971333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;216638;20439;0;3520;1663210,699333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;125441;20431;0;3483;1669377,414
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;98936;20692;0;3497;1667042,514666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;56488;18089;0;3135;1727391,466
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;48145;15413;0;3139;1726740,855333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;66756;17347;0;3551;1658062,584666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;68687;17255;0;3531;1661396,47
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;68116;16970;0;3492;1667898,18
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;68055;16948;0;3488;1668564,978666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;65608;17195;0;3527;1662063,496666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;47172;14971;1;3083;1736076,840666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;38323;12274;1;3158;1723593,022666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;53217;13796;0;3553;1657750,557333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;54510;13724;0;3579;1653417,656
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;54190;13496;1;3465;1672419,024
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;54171;13480;1;3423;1679419,12
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;52201;13670;0;3519;1663417,98
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;37403;11888;1;3120;1729928,672
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;28363;9116;0;3247;1708778,637333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;39192;10243;0;3648;1641938,542
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;40530;10166;0;3558;1656939,004
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;40273;10031;0;3473;1671106,480667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;40145;10057;0;3513;1664439,658
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;38628;10151;0;3569;1655105,760667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;27662;8768;0;3138;1726947,392
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;18457;5900;1;3198;1716964,6
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;25548;6639;1;3587;1652126,832667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;26435;6632;1;3526;1662293,541333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;26281;6558;0;3484;1669293,985333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;26189;6544;1;3529;1661794,069333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;25229;6625;1;3510;1664960,25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;18007;5673;0;3060;1739965,962
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;9077;2805;1;2805;1782483,17
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;12555;3177;1;3177;1720480,938
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;12953;3203;0;3203;1716147,448667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;12890;3163;1;3163;1722814,355333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;12909;3137;1;3137;1727147,844667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;12316;3202;0;3202;1716314,121333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;8875;2711;1;2711;1798150,400667
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;67736;0
