Simulation Total Time;7668614
Total Number of Sensed Events by the WSN;328558
Number of Sensed Events by the WSN per Day
1;3842
2;3941
3;3829
4;3836
5;3876
6;3823
7;3823
8;3825
9;3859
10;3872
11;3774
12;3863
13;3934
14;3792
15;3823
16;3815
17;3887
18;3900
19;3797
20;3792
21;3804
22;3886
23;3852
24;3891
25;3826
26;3900
27;3811
28;3815
29;3800
30;3885
31;3813
32;3867
33;3897
34;3822
35;3810
36;3818
37;3797
38;3845
39;3848
40;3773
41;3845
42;3910
43;3878
44;3817
45;3825
46;3836
47;3850
48;3817
49;3795
50;3892
51;3920
52;3861
53;3889
54;3887
55;3911
56;3874
57;3863
58;3845
59;3934
60;3805
61;3887
62;3850
63;3856
64;3860
65;3939
66;3859
67;3878
68;3853
69;3902
70;3870
71;3840
72;3858
73;3915
74;3861
75;3941
76;3865
77;3876
78;3863
79;3882
80;3838
81;3878
82;3845
83;3854
84;3838
85;3165
86;1568
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;187548;63487;0;7989;7668089.504
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;323886;132050;0;9363;7438674.220001
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;668062;201199;0;9356;7439425.790668
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;466731;476219;0;9488;7415775.402671
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;672956;206148;0;9411;7430229.474001
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;333825;137175;0;9477;7419643.130001
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;196114;67868;0;8929;7511396.895333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;168805;55498;0;9379;7436466.747333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;294729;59658;0;10070;7321271.012667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;369015;59793;0;10036;7326936.621333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;643173;59740;0;10011;7331103.64
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;374315;59562;0;10031;7327771.362667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;303971;59999;0;10043;7325768.902667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;177204;58939;0;9449;7424779.464667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;141823;46119;0;9381;7436189.642
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;194222;49588;0;10080;7319664.338
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;198778;49757;0;10073;7320829.960667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;198583;49729;0;10114;7313996.927333
