Simulation Total Time;7651928
Total Number of Sensed Events by the WSN;657251
Number of Sensed Events by the WSN per Day
1;328693
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;187486;63489;0;8090;7651255.950667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;324014;132087;0;9332;7443840.744667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;668441;201264;0;9307;7447592.331335
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;466977;476484;0;9508;7412440.537337
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;673625;206556;0;9415;7429560.331335
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;334920;137766;0;9402;7432139.578001
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;197110;68299;0;8955;7507060.73
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;168765;55399;0;9379;7436467.313333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;294958;59721;0;10029;7328103.6
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;368570;59870;0;10128;7311602.722
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;642858;59592;0;10058;7323271.012667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;374748;59386;0;9982;7335939.123333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;304553;60224;0;10116;7313600.346
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;178158;59344;0;9515;7413776.896667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;141787;46043;0;9348;7441690.248
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;194312;49692;0;10061;7322830.560667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;198596;49742;0;10157;7306829.882666
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;198055;49534;0;10115;7313831.254666
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;198366;49404;0;10058;7323332.344666
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;199054;50141;0;10025;7328827.838667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;149863;49857;0;9479;7419833.960667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;113100;36716;0;9305;7448912.816666
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;155062;39646;0;10017;7330224.174
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;158323;39636;0;10096;7317057.145333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;157667;39419;0;10135;7310558.531333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;158347;39381;0;9973;7337559.213333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;159154;40116;0;10164;7305720.814
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;120863;40378;0;9485;7418890.844666
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;84520;27436;0;9261;7456301.776
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;115557;29629;0;10111;7314617.237333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;118185;29561;0;10004;7332451.420666
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;117805;29375;0;9958;7340119.577333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;118002;29408;0;10059;7323285.716
