Simulation Total Time;7657987
Total Number of Sensed Events by the WSN;985533
Number of Sensed Events by the WSN per Day
1;328282
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;188184;63687;0;8052;7657588.066
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;325107;132549;0;9398;7432837.578667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;669286;201956;0;9401;7431921.226668
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;467308;476731;0;9423;7426606.022004
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;673224;205810;0;9317;7445898.212668
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;333380;136987;0;9390;7434144.572001
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;196051;67988;0;8924;7512229.322667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;169374;55635;0;9411;7431132.462
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;295602;59865;0;10145;7308769.272667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;370058;60007;0;10080;7319601.922
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;643586;59656;0;10015;7330437.423333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;373157;59506;0;10133;7310771.534667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;303456;59751;0;10078;7319936.933333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;177082;59064;0;9526;7411944.957333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;142154;46224;0;9421;7429522.249333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;194747;49720;0;10150;7307996.959333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;199137;49927;0;10134;7310662.108
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;198439;49641;0;10128;7311664.052
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;198144;49423;0;10100;7316332.122667
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;197522;49673;0;10143;7309163.588
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;148649;49538;0;9603;7399168.746
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;113138;36803;0;9487;7418578.779333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;155364;39629;0;10053;7324224.254
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;158430;39793;0;10217;7296889.564666
