Simulation Total Time;639136
Total Number of Sensed Events by the WSN;22524
Number of Sensed Events by the WSN per Day
1;3263
2;3246
3;3182
4;3231
5;3250
6;3271
7;3038
8;43
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;16363;5122;0;441;621373,81317
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;29276;11682;0;560;610093,562092
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;42129;18160;0;533;612644,976606
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;54780;24502;0;539;612070,21041
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;60128;30817;0;554;610642,839993
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;60140;29866;0;543;611685,896972
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;52766;23452;0;551;610934,418494
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;39843;17003;0;603;606014,553662
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;26888;10466;0;582;608010,567225
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;14211;4021;0;276;637006,492823
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;15249;4681;0;555;610574,250029
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;27467;6015;0;696;597215,015204
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;35122;5945;0;698;597025,611628
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;41123;5804;0;718;595131,01594
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;47470;5766;0;680;598731,053656
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;46620;5871;0;679;598825,68626
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;40473;5898;0;652;601383,554222
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;34014;5951;0;707;596172,973763
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;25190;5971;0;690;597783,479754
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;13283;3745;0;446;620901,501881
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;13540;4126;0;583;607922,173336
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;19950;5319;0;695;597310,448403
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;20899;5247;0;702;596647,362222
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;20528;5095;0;704;596458,040728
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;20448;5086;0;690;597784,365443
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;20703;5192;0;687;598068,470935
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;20921;5246;0;665;600152,626902
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;21084;5255;0;649;601668,407387
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;18972;5281;0;683;598447,328492
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;11896;3305;0;436;621849,310598
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;11769;3554;0;535;612470,114614
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;17278;4624;0;698;597026,932727
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;18060;4545;0;724;594563,853865
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;17734;4392;0;694;597406,112114
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;17669;4396;0;708;596079,792575
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;17926;4505;0;723;594658,630914
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;18221;4581;0;708;596079,607797
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;18354;4606;0;682;598542,741108
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;16559;4599;0;666;600058,537664
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;10360;2872;0;416;623744,480559
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;9976;3020;0;528;613133,807192
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;14655;3930;0;684;598353,942903
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;15243;3821;0;725;594469,841249
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;14896;3698;0;705;596364,701301
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node44;0;14962;3705;0;651;601480,484072
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node45;0;15202;3814;0;688;597975,11182
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node46;0;15468;3873;0;706;596269,789653
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node47;0;15635;3924;0;699;596932,896685
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node48;0;14068;3933;0;715;595417,097828
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node49;0;8838;2456;0;423;623081,738919
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node50;0;8179;2492;0;572;608965,913745
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node51;0;12036;3246;0;694;597407,258739
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node52;0;12468;3105;0;699;596933,715635
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node53;0;12220;3017;0;654;601196,962167
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node54;0;12165;3054;0;700;596839,030856
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node55;0;12485;3130;0;680;598733,691272
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node56;0;12660;3167;0;712;595702,074661
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node57;0;12797;3225;0;721;594849,385042
