Simulation Total Time;640041
Total Number of Sensed Events by the WSN;22414
Number of Sensed Events by the WSN per Day
1;3202
2;3182
3;3210
4;3157
5;3221
6;3222
7;3110
8;110
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;16508;5210;0;453;620236,883091
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;29195;11739;0;572;608956,662441
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;41848;18029;0;563;609803,001751
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;54663;24383;0;551;610933,487165
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;59825;30831;0;556;610453,352571
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;59864;29554;0;521;613770,419725
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;52005;22998;0;545;611503,294401
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;39094;16650;0;553;610751,749595
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;26370;10281;0;561;610000,226524
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;13919;3877;0;261;638427,689847
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;15403;4769;0;538;612184,687976
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;27232;5958;0;693;597499,28307
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;34775;5727;0;659;600720,566925
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;40971;5803;0;678;598920,491493
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;47638;5892;0;690;597783,559861
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;46436;6035;0;671;599583,417022
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;39897;5803;0;640;602520,491367
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;33139;5816;0;705;596362,583072
