Simulation Total Time;623844
Total Number of Sensed Events by the WSN;21850
Number of Sensed Events by the WSN per Day
1;3190
2;3054
3;3094
4;3143
5;3165
6;3110
7;3062
8;32
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;12872;4293;0;455;620048,323382
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;22270;9034;0;596;606685,682238
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;31872;13834;0;576;608575,617754
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;36403;18614;0;586;607623,467257
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;36437;18382;0;559;610181,593918
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;31370;13613;0;614;604975,838295
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;21852;8830;0;591;607159,570803
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;12461;4075;0;444;621090,647179
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;11687;3838;0;592;607069,82781
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;20663;4160;0;593;606974,765927
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;25770;4224;0;617;604701,017706
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;30584;4196;0;625;603943,150728
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;30345;4210;0;618;604606,294759
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;25668;4195;0;601;606216,835702
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;20207;4251;0;607;605648,358579
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;11447;3631;0;495;616259,508913
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;10068;3248;0;585;607733,57589
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;13926;3567;0;632;603280,622209
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;14357;3607;0;614;604985,845413
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;14371;3573;0;602;606122,721311
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;14372;3597;0;602;606122,69738
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;14397;3594;0;625;603943,752887
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;13848;3644;0;662;600438,438745
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;9914;3136;0;497;616070,530359
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;8257;2663;0;595;606786,792937
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;11562;2943;0;601;606218,088813
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;11871;2993;0;635;602996,985371
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;11869;2971;0;648;601765,428433
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;11933;2996;0;600;606312,772602
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;11880;2969;0;651;601481,21956
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;11497;2984;0;657;600912,783217
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;8264;2639;0;495;616260,500999
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;6528;2077;0;559;610197,906494
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;9131;2347;0;589;607355,526775
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;9397;2359;0;622;604229,198649
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;9432;2327;0;621;604323,967457
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;9372;2396;0;651;601481,793307
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;9381;2320;0;636;602902,921623
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;9120;2341;0;621;604323,95312
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;6614;2144;0;509;614934,680071
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;4806;1520;0;549;611145,831392
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;6711;1758;0;625;603945,589707
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;6905;1737;1;648;601766,662763
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;6878;1706;0;636;602903,535803
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node44;0;6910;1747;0;626;603850,863649
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node45;0;6877;1692;0;603;606029,865961
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node46;0;6737;1721;0;618;604608,78427
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node47;0;4993;1636;0;508;615029,925459
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node48;0;3045;971;0;575;608683,223344
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node49;0;4288;1133;0;650;601577,793239
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node50;0;4414;1093;0;622;604230,464424
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node51;0;4390;1078;0;608;605556,795978
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node52;0;4392;1121;0;633;603188,332223
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node53;0;4377;1089;0;624;604040,996257
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node54;0;4447;1117;0;593;606977,810335
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node55;0;3370;1128;0;510;614840,960857
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node56;0;1470;423;0;423;623083,77489
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node57;0;2028;499;0;499;615883,695164
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node58;0;2076;485;0;485;617210,024896
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node59;0;2066;484;0;484;617304,762549
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node60;0;2077;503;0;503;615504,743288
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node61;0;2125;481;0;481;617588,97565
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node62;0;2208;533;0;533;612662,608139
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node63;0;1625;618;0;618;604609,895598
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;23526;0
Simulation Total Time;622510
Total Number of Sensed Events by the WSN;21785
Number of Sensed Events by the WSN per Day
1;3130
2;3110
3;3121
4;3109
5;3134
6;3130
7;3026
8;25
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;13160;4384;0;430;622416,653665
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;22572;9206;0;573;608864,45834
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;31964;13939;0;575;608670,249931
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;36501;18601;0;556;610465,586315
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;36452;18456;0;597;606581,519603
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;31457;13630;0;627;603744,241661
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;21806;8767;0;591;607159,633293
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;12391;4090;0;466;619006,420857
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;11988;3954;0;598;606501,29074
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;20924;4260;0;618;604606,24398
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;25882;4158;0;581;608111,610412
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;30482;4106;0;600;606311,662324
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;30439;4229;0;612;605174,696646
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;25593;4263;0;635;602995,715073
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;20102;4134;0;617;604701,107238
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;11311;3624;0;526;613322,6734
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;10358;3357;0;596;606691,362055
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;14193;3642;0;623;604133,178914
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;14287;3577;0;596;606691,139168
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;14214;3508;0;594;606880,681439
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;14302;3617;0;658;600817,413645
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;14414;3632;0;615;604891,083292
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;13715;3517;0;618;604606,987767
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;9760;3104;0;485;617207,404714
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;8548;2763;0;593;606976,1671
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;11791;3021;0;610;605365,37917
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;11884;2981;0;607;605649,630361
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;11682;2914;0;659;600723,380415
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;11896;2962;0;614;604986,489374
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;11836;3017;0;651;601481,171793
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;11418;2901;0;601;606218,130815
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;8110;2619;0;513;614555,258213
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;6810;2179;0;543;611713,59353
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;9363;2411;0;609;605460,726348
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;9393;2374;0;627;603755,500269
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;9246;2257;0;645;602050,353276
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;9264;2348;0;661;600534,471596
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;9392;2370;0;638;602713,396907
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;9015;2300;0;627;603755,573242
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;6544;2112;0;487;617018,923637
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;5053;1636;0;562;609914,136695
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;6907;1802;0;663;600345,545768
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;6938;1748;0;610;605366,652217
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;6733;1626;0;600;606314,143242
