Simulation Total Time;663061
Total Number of Sensed Events by the WSN;23981
Number of Sensed Events by the WSN per Day
1;3222
2;3257
3;3234
4;3210
5;3243
6;3196
7;3215
8;1404
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;17165;5410;0;437;659578,741737
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;30568;12181;0;581;655099,186484
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;44104;18954;0;613;650618,311974
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;57939;25750;0;598;646122,221274
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;64524;32772;0;588;641476,614032
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;64506;32359;0;625;641749,845932
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;56957;25196;0;601;646488,735742
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;42687;18073;0;597;651201,163311
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;28466;10961;0;583;655906,313226
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;14851;4128;0;248;660426,886626
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;16041;4984;0;569;659860,570263
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;28844;6204;0;719;659053,438058
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;36816;6173;0;740;659073,946642
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;43861;6213;0;731;659047,482963
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;51225;6448;0;763;658892,012084
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;51104;6540;0;780;658831,146395
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;44054;6525;0;758;658841,070347
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;36676;6530;0;734;658837,7628
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;26959;6265;0;711;659013,081474
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;13864;3890;0;424;660584,338042
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;14319;4427;0;614;660229,069121
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;20893;5506;0;713;659515,219279
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;21878;5445;0;754;659555,576179
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;22135;5490;0;723;659525,805711
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;22672;5700;0;755;659386,873089
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;23061;5772;0;759;659339,239389
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;23136;5788;0;782;659328,653905
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;22950;5813;0;786;659312,114479
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;20440;5578;0;711;659467,586384
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;12512;3471;0;438;660861,5391
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;12468;3829;0;630;660624,692858
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;18102;4817;0;780;659971,047774
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;19076;4709;0;695;660042,498237
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;19219;4777;0;734;659997,511421
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;19764;4962;0;723;659875,118732
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;20071;5033;0;744;659828,146547
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;20161;5026;0;770;659832,776779
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;20027;5054;0;782;659814,252237
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;17837;4891;0;749;659922,090442
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;10992;3044;0;420;661144,033358
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;10511;3224;0;622;661024,948342
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;15410;4058;0;743;660473,185847
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;16149;4037;0;736;660487,079621
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;16409;4058;0;737;660473,1858
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node44;0;16835;4254;0;764;660343,515742
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node45;0;17117;4311;0;784;660305,805947
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node46;0;17169;4286;0;778;660322,345453
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node47;0;16995;4297;0;826;660315,067374
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node48;0;15228;4161;0;772;660405,042868
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node49;0;9402;2630;0;443;661417,926553
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node50;0;8582;2624;0;622;661421,896137
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node51;0;12628;3332;0;729;660953,492668
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node52;0;13298;3324;0;764;660958,785032
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node53;0;13470;3341;0;776;660947,537416
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node54;0;13862;3504;0;801;660839,699179
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node55;0;14130;3544;0;786;660813,236053
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node56;0;14091;3535;0;792;660819,191116
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node57;0;14007;3494;0;750;660846,315363
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node58;0;12543;3410;0;745;660901,888421
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node59;0;7775;2197;0;473;661704,389811
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node60;0;6685;2026;0;604;661817,520805
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node61;0;9873;2622;0;719;661423,214274
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node62;0;10420;2588;0;717;661445,707674
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node63;0;10550;2584;0;712;661448,3532
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node64;0;10826;2723;0;791;661356,3933
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node65;0;11034;2780;0;804;661318,682779
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node66;0;11075;2767;0;796;661327,282974
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node67;0;10984;2765;0;752;661328,606289
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node68;0;9828;2691;0;792;661377,563779
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node69;0;6146;1735;0;485;662010,039442
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node70;0;4793;1439;0;617;662205,867158
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node71;0;7165;1927;0;738;661883,010442
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node72;0;7593;1890;0;735;661907,489147
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node73;0;7628;1898;0;735;661902,196279
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node74;0;7822;1958;0;788;661862,501226
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node75;0;7985;2000;0;776;661834,7142
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node76;0;7997;1995;0;829;661838,021684
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node77;0;7888;2032;0;844;661813,543374
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node78;0;7135;1918;0;783;661888,963232
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node79;0;4466;1258;0;456;662325,612616
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node80;0;2909;840;0;603;662602,152789
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node81;0;4397;1214;0;792;662354,715932
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node82;0;4743;1180;0;768;662377,209679
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node83;0;4725;1196;0;777;662366,624321
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node84;0;4849;1201;0;790;662363,315889
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node85;0;4862;1252;0;815;662329,575284
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node86;0;4892;1198;0;791;662365,300279
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node87;0;4840;1210;0;786;662357,361489
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node88;0;4364;1154;0;762;662394,410826
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node89;0;2784;813;0;457;662620,0155
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node90;0;1290;256;0;263;662988,519347
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node91;0;1913;450;0;464;662860,168184
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node92;0;2076;443;0;460;662864,798937
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node93;0;2082;446;0;460;662862,814153
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node94;0;2110;443;0;459;662864,799063
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node95;0;2130;463;0;470;662851,567453
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node96;0;2117;435;0;444;662870,091853
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node97;0;2068;456;0;473;662856,1983
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node98;0;1982;423;0;440;662878,030879
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node99;0;1236;372;0;385;662911,776142
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;24966;0
Simulation Total Time;663157,894737
Total Number of Sensed Events by the WSN;24197
Number of Sensed Events by the WSN per Day
1;3261
2;3312
3;3251
4;3220
5;3216
6;3295
7;3211
8;1431
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;17523;5475;0;453;659535,738726
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;31382;12481;0;617;654900,711805
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;45484;19485;0;655;650267,012811
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;59726;26624;0;605;645544,001179
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;65313;33675;0;595;640879,208053
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;65399;32306;0;583;641784,910311
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;57020;25303;0;594;646417,947458
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;43095;18395;0;615;650988,134432
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;29186;11406;0;627;655611,909695
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;15346;4187;0;255;660387,852947
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;16327;5042;0;625;659822,197942
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;29514;6422;0;820;658909,211747
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;38073;6379;0;791;658937,659674
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;45274;6566;0;802;658813,945263
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;52350;6500;0;804;658857,609126
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;50751;6421;0;776;658909,874116
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;43699;6319;0;756;658977,356068
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;36941;6386;0;785;658933,029584
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;27606;6604;0;749;658788,805753
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;14305;3940;0;438;660551,258716
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;14464;4430;0;629;660227,084053
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;21308;5612;0;768;659445,0909
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;22587;5600;0;795;659453,030211
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;22828;5771;0;829;659339,899074
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;22821;5688;0;788;659394,810663
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;22595;5626;0;751;659435,829458
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;22467;5589;0;716;659460,308953
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;22741;5623;0;758;659437,814589
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;20878;5874;0;761;659271,758511
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;12888;3514;0;455;660833,090763
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;12498;3810;0;616;660637,262874
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;18371;4856;0;752;659945,245216
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node32;0;19506;4825;0;769;659965,754163
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node33;0;19716;4974;0;804;659867,177747
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node34;0;19689;4924;0;815;659900,257358
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node35;0;19619;4897;0;751;659918,1207
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node36;0;19573;4899;0;724;659916,798584
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node37;0;19780;4892;0;796;659921,428563
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node38;0;18173;5137;0;828;659759,340947
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node39;0;11277;3074;0;459;661124,184521
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node40;0;10532;3212;0;631;661032,887132
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node41;0;15531;4124;0;759;660429,521068
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node42;0;16498;4076;0;742;660461,277284
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node43;0;16595;4196;0;810;660381,887258
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node44;0;16645;4130;0;791;660425,551232
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node45;0;16648;4170;0;764;660399,089147
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node46;0;16666;4195;0;739;660382,549389
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node47;0;16813;4121;0;750;660431,505679
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node48;0;15411;4333;0;825;660291,249647
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node49;0;9566;2626;0;475;661420,571526
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node50;0;8618;2598;0;589;661439,097332
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node51;0;12709;3387;0;777;660917,105147
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node52;0;13531;3353;0;720;660939,598895
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node53;0;13571;3415;0;769;660898,580795
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node54;0;13594;3355;0;747;660938,275153
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node55;0;13684;3426;0;768;660891,302968
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node56;0;13705;3476;0;802;660858,223737
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node57;0;13757;3393;0;779;660913,135405
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node58;0;12609;3527;0;817;660824,482326
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node59;0;7829;2159;0;490;661729,529005
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node60;0;6698;2019;0;569;661822,152411
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node61;0;9991;2634;0;728;661415,274742
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node62;0;10553;2653;0;773;661402,703795
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node63;0;10639;2667;0;738;661393,442305
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node64;0;10591;2623;0;753;661422,551605
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node65;0;10651;2683;0;789;661382,856347
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node66;0;10725;2691;0;778;661377,563068
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node67;0;10715;2633;0;743;661415,935216
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node68;0;9799;2724;0;778;661355,731516
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node69;0;6115;1676;0;449;662049,072268
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node70;0;4815;1466;0;626;662188,004495
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node71;0;7224;1932;0;738;661879,702832
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node72;0;7689;1899;0;768;661901,534589
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node73;0;7637;1948;0;786;661869,117047
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node74;0;7644;1886;0;747;661910,134721
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node75;0;7702;1911;0;730;661893,595674
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node76;0;7712;1933;0;751;661879,040842
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node77;0;7700;1907;0;757;661896,241863
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node78;0;7045;1963;0;807;661859,193679
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node79;0;4428;1232;0;454;662342,8137
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node80;0;2967;864;0;607;662586,274232
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node81;0;4388;1225;0;811;662347,438105
