Simulation Total Time;662962
Total Number of Sensed Events by the WSN;23491
Number of Sensed Events by the WSN per Day
1;3153
2;3092
3;3093
4;3152
5;3137
6;3076
7;3165
8;1623
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;14098;4697;0;444;660050,444716
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;24119;9845;0;625;656644,632868
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;34242;14898;0;584;653301,674826
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;39404;19927;0;642;649974,5934
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;39434;20118;0;605;649848,232153
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;34445;14954;0;627;653264,626137
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;24098;9733;0;589;656718,729537
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;13688;4460;0;506;660207,238674
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;12924;4254;0;608;660343,520637
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;22583;4581;0;659;660127,180247
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;27878;4563;0;700;660139,087863
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;33036;4536;0;689;660156,949753
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;33342;4698;0;721;660049,774184
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;28412;4711;0;697;660041,174195
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;22405;4746;0;738;660018,018426
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;12624;3958;0;540;660539,347247
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;11197;3647;0;628;660745,098316
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;15326;3924;0;689;660561,8367
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;15568;3865;0;637;660600,870616
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;15570;3852;0;665;660609,470779
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;15838;3981;0;709;660524,1264
