Simulation Total Time;663157,894737
Total Number of Sensed Events by the WSN;23746
Number of Sensed Events by the WSN per Day
1;3251
2;3281
3;3233
4;3283
5;3272
6;3219
7;3243
8;964
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node0;0;15833;5149;0;437;659751,412311
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node1;0;27584;11121;0;600;655800,458621
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node2;0;39381;17063;0;650;651869,355995
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node3;0;72066;22968;0;626;647962,732089
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node4;0;49142;49723;0;582;630262,189026
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node5;0;71268;22169;0;625;648491,334805
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node6;0;37876;16308;0;602;652368,848558
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node7;0;26091;10401;0;618;656276,795605
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node8;0;14345;4261;0;318;660338,8944
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node9;0;14669;4714;0;616;660039,194558
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node10;0;25984;5421;0;703;659571,453332
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node11;0;32701;5435;0;705;659562,191274
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node12;0;38667;5487;0;715;659527,788979
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node13;0;65384;5492;0;743;659524,480911
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node14;0;37804;5427;0;711;659567,483558
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node15;0;32017;5426;0;731;659568,144916
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node16;0;24615;5587;0;735;659461,631084
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node17;0;13291;3947;0;504;660546,625484
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node18;0;12927;4100;0;609;660445,404174
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node19;0;18294;4722;0;677;660033,897489
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node20;0;18949;4730;0;713;660028,604668
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node21;0;19010;4775;0;735;659998,8333
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node22;0;19011;4753;0;729;660013,387595
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node23;0;18902;4720;0;694;660035,219779
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node24;0;18937;4696;0;761;660051,097926
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node25;0;17866;4856;0;709;659945,245247
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node26;0;11757;3443;0;489;660880,061479
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node27;0;11035;3491;0;602;660848,305911
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node28;0;15531;4046;0;745;660481,124226
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node29;0;16111;4017;0;724;660500,309716
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node30;0;16086;4042;0;773;660483,770132
eboracum.wsn.network.node.sensor.controlled.AntControlledWSNNode;Node31;0;16134;4025;0;715;660495,017211
