Simulation Total Time;590979
Total Number of Sensed Events by the WSN;21083
Number of Sensed Events by the WSN per Day
1;3246
2;3255
3;3243
4;3230
5;3246
6;3311
7;1552
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;22614;7304;0;800;587361,113977
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;40108;16110;0;963;571910,199006
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;57782;24960;0;966;571617,134754
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;66683;33787;0;983;569997,777721
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;66629;33878;0;1009;567534,528788
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;58054;25151;1;975;570764,312094
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;40508;16303;0;946;573520,532241
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;22964;7425;1;764;590771,519242
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;20720;6504;0;945;573625,072209
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;36819;7871;0;1159;553350,020423
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;47095;7888;0;1182;551171,056047
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;55708;7854;0;1198;549655,300588
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;56007;7756;0;1141;555055,398629
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;47365;7882;0;1139;555244,74626
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;37279;7960;0;1133;555813,08928
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;21055;6661;1;962;572014,388827
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;17880;5563;1;911;576847,066237
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;25656;6724;1;1100;558940,64159
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;26671;6706;1;1219;547666,975387
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;26555;6656;0;1220;547572,288566
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;26587;6615;0;1175;551835,487478
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;26854;6743;0;1186;550793,254161
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;25846;6827;1;1182;551172,117494
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;18208;5699;0;978;570499,561758
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;14891;4652;0;945;573626,924989
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;21205;5624;0;1166;552689,110474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;22232;5536;0;1132;555910,251143
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;22028;5500;1;1119;557141,866105
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;21949;5455;0;1165;552784,016387
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;22208;5561;0;1180;551362,857711
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;21415;5646;0;1180;551362,772675
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;15071;4721;0;994;568984,750696
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;11828;3707;0;981;570217,344071
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;16904;4458;0;1176;551742,908544
