Simulation Total Time;663157,894737
Total Number of Sensed Events by the WSN;23568
Number of Sensed Events by the WSN per Day
1;3281
2;3297
3;3288
4;3244
5;3167
6;3279
7;3266
8;746
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;30805;9327;0;695;656987,347895
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;55692;22172;0;975;648489,366316
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;79982;34495;0;951;640336,728947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;103838;46437;0;948;632436,153158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;115946;58349;0;945;624555,424737
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;115929;58541;0;950;624428,401579
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;103939;46337;0;940;632502,311053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;79496;34093;0;935;640602,683684
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;54972;21818;0;940;648723,565263
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;30359;9220;0;679;657058,136842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;29060;8638;0;1000;657443,175789
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;53395;12094;0;1395;655156,758947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;68955;11913;0;1377;655276,504737
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;80965;11833;0;1375;655329,431053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;93224;12156;0;1393;655115,741053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;93726;12284;0;1426;655031,058947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;81335;12173;0;1375;655104,494211
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;68773;11925;1;1364;655268,565789
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;52800;11946;0;1400;655254,672632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;28675;8547;0;1039;657503,379474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;25992;7646;0;1005;658099,462105
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;39596;10712;0;1379;656071,061053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;42292;10547;0;1345;656180,221579
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;42274;10464;0;1343;656235,132632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;42893;10773;0;1373;656030,704737
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;43346;10872;0;1396;655965,208421
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;43026;10812;0;1401;656004,903158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;42477;10569;0;1396;656165,666842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;39176;10566;0;1402;656167,651579
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;25586;7512;0;1039;658188,113684
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;22672;6660;0;977;658751,778947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;34539;9342;0;1355;656977,424211
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;36885;9212;0;1344;657063,429474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;36886;9128;0;1320;657119,002105
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;37415;9402;0;1365;656937,729474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;37749;9479;1;1421;656886,787895
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;37481;9419;0;1415;656926,482632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;36995;9191;0;1367;657077,322632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;34042;9182;0;1362;657083,276842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;22175;6477;0;996;658872,847895
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;19360;5690;0;991;659393,510526
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;29474;8000;0;1413;657865,263158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;31545;7884;1;1372;657942,006316
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;31528;7821;1;1348;657983,685789
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;31929;8043;0;1395;657836,815263
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;32189;8061;0;1411;657824,906842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;31956;8017;0;1379;657854,016316
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;31509;7839;0;1371;657971,777368
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;28958;7833;0;1373;657975,746842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;18843;5488;0;955;659527,149474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;15982;4708;0;1018;660043,181053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;24345;6602;0;1471;658790,150526
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;26077;6518;0;1407;658845,723158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;26085;6480;0;1390;658870,863158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;26456;6656;0;1381;658754,425263
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;26612;6658;0;1410;658753,102105
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node56;0;26394;6647;0;1398;658760,379474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node57;0;26065;6470;0;1355;658877,478947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node58;0;23940;6463;0;1353;658882,11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node59;0;15547;4538;0;943;660155,649474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node60;0;12506;3698;0;1041;660711,375789
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node61;0;19104;5141;0;1446;659756,717368
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node62;0;20472;5120;0;1404;659770,610526
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node63;0;20640;5096;1;1334;659786,488421
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node64;0;20950;5278;0;1335;659666,081053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node65;0;21084;5254;0;1365;659681,958947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node66;0;20891;5258;0;1395;659679,312632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node67;0;20585;5126;0;1385;659766,641053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node68;0;18919;5116;0;1376;659773,256842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node69;0;12294;3597;0;957;660778,195263
