Simulation Total Time;662804
Total Number of Sensed Events by the WSN;23304
Number of Sensed Events by the WSN per Day
1;3181
2;3199
3;3258
4;3265
5;3215
6;3225
7;3251
8;710
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;23910;8037;0;1062;657840,784737
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;41697;16935;0;1176;651954,055263
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;83576;25938;0;1192;645997,86
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;57649;58829;0;1181;624237,866842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;83496;25867;0;1201;646044,832105
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;41705;17018;0;1181;651899,144211
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;24071;8089;0;1036;657806,382632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;21667;6983;1;1235;658538,088947
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;38544;7882;0;1386;657943,329474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;48670;8138;0;1404;657773,965263
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;81602;8115;0;1380;657789,181579
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;48353;7902;0;1415;657930,097895
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;38494;7883;0;1365;657942,667895
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;21764;7061;0;1269;658486,485789
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;18033;5754;0;1214;659351,169474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;25543;6509;0;1347;658851,677368
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;26728;6751;0;1419;658691,575263
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;26737;6749;0;1372;658692,898421
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;26348;6495;1;1322;658860,939474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;25340;6524;1;1355;658841,753684
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;18163;5797;0;1220;659322,721579
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;14280;4545;0;1187;660151,018421
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;20206;5168;0;1350;659738,854737
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;21229;5335;0;1404;659628,371053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;21235;5381;0;1408;659597,938421
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;20862;5181;0;1372;659730,254211
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;20092;5177;0;1368;659732,900526
