Simulation Total Time;662645
Total Number of Sensed Events by the WSN;22627
Number of Sensed Events by the WSN per Day
1;3260
2;3201
3;3269
4;3218
5;3251
6;3261
7;3167
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;28244;8838;0;779;657310,86
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;50412;20185;0;1012;649803,923684
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;72279;31238;0;1003;642491,491579
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;132330;42043;0;1009;635343,131053
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;90274;91295;0;1022;602759,044737
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;132707;42469;0;1058;635061,298421
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;72982;31579;0;1066;642265,893158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;51051;20527;0;1056;649577,663684
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;28627;8925;0;826;657253,302632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;26411;8065;0;1014;657822,260526
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;47878;10521;0;1321;656197,422632
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;61498;10455;0;1301;656241,086842
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;72589;10584;0;1337;656155,743158
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;121778;10846;0;1444;655982,409474
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;72873;10501;0;1424;656210,654211
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;61999;10481;0;1391;656223,885789
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;48465;10829;0;1445;655993,656316
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;26779;8111;0;1086;657791,827895
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;23339;7057;0;1002;658489,132105
