Simulation Total Time;16885832
Total Number of Sensed Events by the WSN;222846
Number of Sensed Events by the WSN per Day
1;3274
2;3224
3;3276
4;3230
5;3203
6;3147
7;3248
8;3243
9;3286
10;3247
11;3239
12;3284
13;3303
14;3300
15;3224
16;3234
17;3189
18;3239
19;3294
20;3221
21;3210
22;3257
23;3269
24;3281
25;3218
26;3282
27;3236
28;3254
29;3276
30;3215
31;3243
32;3171
33;3292
34;3272
35;3216
36;3247
37;3249
38;3186
39;3264
40;3214
41;3297
42;3251
43;3246
44;3243
45;3232
46;3257
47;3240
48;3190
49;3259
50;3171
51;3259
52;3256
53;3252
54;3249
55;3199
56;3246
57;3271
58;3238
59;3161
60;2981
61;1846
62;848
63;876
64;936
65;911
66;958
67;983
68;941
69;926
70;929
71;974
72;944
73;929
74;929
75;950
76;954
77;946
78;967
79;944
80;925
81;928
82;939
83;970
84;908
85;981
86;939
87;644
88;557
89;521
90;518
91;525
92;98
93;78
94;76
95;98
96;84
97;86
98;25
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;33677;35242;101487;39590;35242;0;5913;15970148,457374
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;61108;64093;158417;66723;64093;0;5615;8521552,722063
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;89652;92285;217498;94944;92285;0;5292;7970441,146641
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;120375;125392;120375;125392;125392;0;5017;7452608,225761
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;155214;160803;155214;0;0;1;5589;8442717,211925
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;139691;145235;139691;0;0;1;5544;8393415,348978
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;104908;110040;104909;110040;110040;0;5132;7863289,076796
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;74010;77316;189825;79417;77316;0;5407;8284954,372477
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;48310;52191;132871;54029;52191;0;5719;8687283,757514
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;23436;24975;80290;29424;24975;1;5988;16526231,822719
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;28783;34764;96175;34764;34764;0;5981;8943056,453702
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;22115;28230;125754;28231;28230;0;6116;5254884,829311
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;21919;28012;162273;28013;28012;0;6094;5249618,61569
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;22011;28090;194931;28090;28090;0;6079;5219327,40082
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;23751;29822;82961;29822;29822;0;6071;5203072,398368
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;23564;29651;81682;29651;29651;0;6087;5116243,214656
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;21488;27593;177183;27593;27593;0;6105;5173905,124063
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;21463;27594;143691;27594;27594;1;6131;5148917,302938
