Simulation Total Time;1323630
Total Number of Sensed Events by the WSN;250044
Number of Sensed Events by the WSN per Day
1;40528
2;40548
3;40485
4;40511
5;40542
6;14793
7;11827
8;11759
9;9051
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;172668;59946;1;6019;1298574,68113
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;292830;118741;1;6313;766922,446838
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;416181;180402;0;6310;765303,087969
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;539616;242176;1;6299;777956,658238
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;600207;303739;0;6303;763848,387394
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;600259;302820;1;6300;769309,50854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;537604;241156;1;6308;762000,635384
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;414094;179332;0;6318;751138,43654
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;292064;119037;0;6306;779388,956552
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;173083;60051;1;6005;1323562,80113
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;160009;53927;0;6321;759969,973709
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;227866;54996;0;6498;443777,595424
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;310876;55367;0;6497;445521,33371
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;370715;55475;0;6495;449080,542854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;429586;55381;0;6496;447305,464
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;429247;55364;0;6497;445521,673142
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;369725;55516;0;6498;443718,76114
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;309668;55204;0;6499;441968,347424
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;228305;55170;0;6496;447329,337138
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;160486;54046;1;6309;781385,081138
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;143779;47638;1;6318;766038,671996
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;174025;48532;0;6497;446294,665139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;195052;48870;1;6500;440899,279996
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;195675;48980;0;6497;446243,977139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;195487;48885;0;6499;442683,297139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;195732;48891;1;6496;448039,761139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;195987;49088;0;6496;448017,471996
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;195458;48988;1;6496;448028,786281
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;174408;48674;0;6497;446278,598853
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;144094;47737;0;6313;774956,042281
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;124620;41320;0;6323;757824,937139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;150333;42035;0;6501;439886,897139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;169268;42380;0;6500;441633,57714
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;169592;42483;0;6501;439836,20914
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;169568;42386;0;6501;439847,183997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;169619;42395;0;6500;441631,879996
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;169971;42592;0;6498;445181,019425
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;169988;42531;0;6494;452330,778282
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;151878;42371;0;6494;452348,881139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;125179;41424;0;6316;770313,170282
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;105655;35120;1;6319;765669,279997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;127159;35534;0;6502;438836,724568
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;143286;35890;1;6500;442367,874283
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;143660;35982;1;6502;438786,036569
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;143526;35885;1;6502;438797,011426
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;143685;35895;0;6501;440581,594283
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;144120;36094;0;6498;445916,221712
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;143904;36037;1;6497;447708,38514
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;128899;35883;0;6494;453082,951997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;106123;35130;1;6314;774596,719997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;86615;28801;1;6321;762812,80114
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;104138;29032;1;6502;439572,379426
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;117246;29390;0;6502;439531,874284
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;117693;29480;0;6503;437735,977141
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;117479;29383;0;6503;437746,951998
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;117977;29600;1;6497;448436,685712
