Simulation Total Time;7369791
Total Number of Sensed Events by the WSN;163039
Number of Sensed Events by the WSN per Day
1;3238
2;3299
3;3283
4;3233
5;3264
6;3263
7;3286
8;3257
9;3269
10;3290
11;3244
12;3258
13;3201
14;3195
15;3219
16;3297
17;3321
18;3267
19;3224
20;3310
21;3245
22;3244
23;3207
24;3284
25;3270
26;3321
27;3309
28;3296
29;3302
30;3220
31;3246
32;3304
33;3259
34;3230
35;3302
36;3297
37;3252
38;3275
39;3272
40;3270
41;3254
42;3189
43;3241
44;3206
45;2184
46;961
47;940
48;995
49;948
50;921
51;952
52;1003
53;949
54;969
55;969
56;907
57;941
58;909
59;969
60;948
61;947
62;959
63;993
64;162
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;106467;33635;1;2699;7230123.011424
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;190003;75531;1;3657;5514668.492561
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;275101;118129;1;3664;5497348.833125
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;360068;160636;1;3669;5483610.898261
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;402689;203101;0;3678;5462734.858254
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;402691;203266;1;3676;5466287.618255
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;360277;160698;0;3684;5456818.169118
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;275254;118212;0;3656;5511625.156555
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;189873;75354;0;3676;5480759.947419
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;106503;33830;1;2681;7262243.80571
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;99193;30936;1;3645;5541142.669711
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;160107;38910;0;4578;3874169.039997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;218066;38961;0;4593;3847377.555425
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;259200;38862;0;4597;3840245.899425
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;301429;38864;0;4575;3879531.387425
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;300760;38892;0;4590;3852742.505139
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;260704;38908;0;4545;3933097.83771
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;217638;39202;0;4602;3831278.859425
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;159389;38692;0;4587;3858122.276568
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;99414;31149;1;3611;5601832.855997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;88924;27291;0;3689;5462983.646854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;122839;34443;0;4562;3903245.877711
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;137537;34474;0;4581;3869313.798854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;137438;34399;0;4577;3876465.141711
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;137564;34437;1;4546;3931817.98514
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;137403;34410;0;4568;3892535.325711
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;137731;34363;0;4562;3903254.92914
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;137514;34637;0;4599;3837152.499425
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;122714;34345;0;4554;3917542.679997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;89365;27538;1;3634;5561169.986283
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;77219;23694;0;3678;5483033.478855
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;106793;29911;0;4552;3921615.783997
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;119455;29918;0;4577;3876972.134854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;119586;29919;0;4545;3934114.878854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;119640;29959;1;4517;3984110.35314
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;119248;29842;1;4579;3873409.30514
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;119280;29801;0;4595;3844842.515426
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;119681;30130;0;4578;3875162.434283
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;106949;29818;0;4536;3950197.734854
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;77520;23904;0;3678;5483009.718855
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;65460;20075;0;3669;5499514.371427
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;90435;25359;0;4564;3900702.238855
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;101528;25427;1;4550;3925694.545141
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;101562;25374;1;4558;3911414.827426
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;101385;25442;0;4562;3904264.276569
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;101185;25282;0;4570;3889996.665141
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;100693;25206;0;4612;3815005.263998
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;101540;25554;1;4577;3877465.890283
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;90468;25282;0;4564;3900710.950855
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;65694;20226;1;3694;5454854.429713
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;53790;16546;1;3626;5576699.366856
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;74112;20795;1;4573;3885147.194284
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;83338;20877;1;4560;3908352.202284
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;83113;20816;0;4608;3822644.818284
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;82973;20880;0;4609;3820851.862855
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;82977;20712;0;4591;3853013.727998
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node56;0;83067;20757;0;4585;3863722.922284
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node57;0;83237;20977;0;4599;3838698.030856
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node58;0;74321;20734;0;4553;3920868.381713
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node59;0;53835;16553;0;3678;5483841.431999
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node60;0;42055;12920;1;3628;5573538.194285
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node61;0;57675;16222;0;4600;3837450.310856
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node62;0;64968;16317;0;4592;3851725.27657
