Simulation Total Time;31055
Total Number of Sensed Events by the WSN;989
Number of Sensed Events by the WSN per Day
1;989
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;425;571;1;146;26908.765333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;982;1130;0;148;25972.88
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;999;1141;1;142;28972.616
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;424;562;1;138;30986.512
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;287;430;1;143;28489.68
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;283;431;0;148;25989.656
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;294;442;0;148;25989.392
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;279;424;1;145;27489.824
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;141;287;0;146;26993.112
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;131;283;0;152;23993.208
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;144;294;0;150;24958.314667
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;130;279;0;149;25473.101333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;144;0;144;27996.544
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;146;0;146;26996.496
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;148;0;148;25996.448
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;144;1;144;27996.544
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1165;0
Simulation Total Time;29592
Total Number of Sensed Events by the WSN;1069
Number of Sensed Events by the WSN per Day
1;997
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;437;578;1;141;29473.376
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;977;1124;0;147;26473.024
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;964;1111;0;147;26466.445333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;420;565;1;145;27486.44
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;294;437;0;143;28489.512
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;273;424;0;151;24484.608
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;253;404;0;152;23990.304
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;275;420;0;146;26983.306667
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;146;294;0;148;25992.944
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;135;283;1;148;25993.208
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;131;277;0;147;26485.117333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;141;284;0;144;27932.394667
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;147;0;147;26496.472
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;144;0;144;27937.514667
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;143;1;143;28496.568
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;143;0;143;28496.568
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1124;0
Simulation Total Time;31170
Total Number of Sensed Events by the WSN;954
Number of Sensed Events by the WSN per Day
1;954
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;412;550;1;138;30986.8
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;878;1026;0;149;25465.125333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;992;1136;0;145;27238.245333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;419;561;0;142;28986.536
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;270;412;0;142;28990.112
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;237;387;0;150;24980.237333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;285;432;0;147;26489.632
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;273;419;0;146;26989.944
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;127;270;0;143;28467.84
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;123;269;0;146;26993.544
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;135;285;0;150;24981.053333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;127;273;0;146;26993.448
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;138;0;138;30996.688
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;140;1;140;29996.64
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;1;146;26996.496
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;141;1;141;29496.616
