Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;37823;41618;114679;44520;41618;1;6697;1574445,015461
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;68915;74947;181594;75577;74947;0;6662;808647,814697
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;103196;108178;251476;109817;108178;0;6621;793568,300543
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;139017;145604;139017;145605;145604;0;6588;768713,010614
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;178169;184821;178170;0;0;1;6652;812078,50858
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;162553;169200;162553;0;0;1;6647;810873,166902
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;123173;129774;123173;129774;129774;0;6601;799117,122514
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;85923;92146;222380;92558;92146;1;6635;817543,535559
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;54976;61649;153417;61650;61649;0;6674;817505,788557
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;26305;29994;91033;33010;29994;0;6705;1619160,336043
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;32396;39102;106581;39102;39102;0;6706;812097,211435
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;23453;30159;172742;30159;30159;1;6706;454709,301042
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;24222;30924;198769;30924;30924;1;6702;463498,429924
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;24139;30839;237004;30839;30839;1;6700;471035,615826
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;25865;32565;91070;32565;32565;0;6700;465757,669064
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;26079;32779;91367;32779;32779;1;6700;461880,618718
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;24325;31027;221528;31027;31027;1;6702;471536,10052
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;24252;30956;182158;30956;30956;1;6704;459024,155883
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node18;0;24157;30864;113546;30865;30864;0;6708;456065,736354
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node19;0;22672;29383;90113;29383;29383;1;6711;828851,830086
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node20;0;28065;34702;96752;34776;34702;1;6711;836236,495756
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node21;0;20425;27138;100612;27139;27138;0;6714;445008,289362
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node22;0;21242;27954;110609;27954;27954;1;6712;462401,491959
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node23;0;21198;27910;111006;27910;27910;1;6712;471853,199243
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node24;0;20850;27542;112560;27562;27542;1;6712;499212,705847
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node25;0;21063;27775;112902;27775;27775;1;6712;462243,399438
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node26;0;21307;28019;111345;28019;28019;1;6712;471311,52779
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node27;0;20996;27708;111275;27708;27708;1;6712;458762,245386
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node28;0;21111;27645;94970;27824;27645;0;6713;461788,032227
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node29;0;19523;26238;80265;26238;26238;1;6715;828546,844631
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node30;0;23795;30511;85326;30511;30511;1;6716;815892,694964
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node31;0;17727;23924;90267;24443;23924;0;6716;455053,141077
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node32;0;17920;24636;98455;24636;24636;1;6716;461884,870078
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node33;0;17935;24651;98177;24651;24651;1;6716;471280,624429
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;17594;24310;97786;24310;24310;1;6716;469281,883661
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;17826;24542;98155;24542;24542;0;6716;467013,734878
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node36;0;18119;24835;98669;24835;24835;1;6716;471317,13464
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node37;0;17760;24476;98436;24476;24476;1;6716;456853,748332
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node38;0;17920;24637;96854;24637;24637;1;6717;462185,108544
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node39;0;16339;23058;70773;23058;23058;1;6719;819180,689008
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node40;0;19386;26107;73640;26107;26107;1;6721;899678,426655
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node41;0;14603;21230;78969;21324;21230;0;6721;457846,483573
