Simulation Total Time;29049071
Total Number of Sensed Events by the WSN;259965
Number of Sensed Events by the WSN per Day
1;3209
2;3280
3;3210
4;3227
5;3228
6;3256
7;3229
8;3290
9;3253
10;3254
11;3256
12;3236
13;3273
14;3261
15;3242
16;3259
17;3266
18;3252
19;3243
20;3242
21;3229
22;3226
23;3273
24;3254
25;3252
26;3272
27;3234
28;3238
29;3287
30;3298
31;3244
32;3257
33;3250
34;3236
35;3216
36;3235
37;3226
38;3259
39;3276
40;3305
41;3238
42;3258
43;3246
44;3312
45;3250
46;3255
47;3219
48;3208
49;3257
50;3205
51;3265
52;3300
53;3207
54;3260
55;3244
56;3260
57;3274
58;3180
59;3296
60;3234
61;3257
62;3276
63;3254
64;3265
65;3158
66;2232
67;1352
68;925
69;952
70;943
71;928
72;924
73;942
74;960
75;985
76;959
77;931
78;913
79;993
80;930
81;917
82;1019
83;934
84;935
85;992
86;966
87;964
88;969
89;929
90;921
91;962
92;941
93;954
94;959
95;962
96;951
97;936
98;956
99;946
100;972
101;946
102;925
103;931
104;937
105;966
106;944
107;932
108;972
109;979
110;947
111;951
112;946
113;960
114;926
115;495
116;43
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;37711;41825;115432;44408;41825;0;6697;19604192,764595
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;69726;75031;182357;76386;75031;0;6660;10972165,4633
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;103279;109707;252884;109900;109707;0;6621;9898648,850034
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;140356;146942;140356;146942;146942;0;6586;9853975,576595
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;179440;186091;179441;0;0;1;6651;9854870,330482
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;160667;167315;160668;0;0;0;6648;9943081,410101
