Simulation Total Time;23889784
Total Number of Sensed Events by the WSN;439
Number of Sensed Events by the WSN per Day
1;439
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;56;65;178;65;65;1;9;34496,722991
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;112;121;286;121;121;1;9;34378,264923
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;164;173;393;173;173;1;9;34266,260691
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;215;224;215;224;224;1;9;34176,677637
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;276;285;276;0;0;1;9;34347,71732
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;252;261;252;0;0;1;9;26117,070909
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;195;204;195;204;204;1;9;25980,575054
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;136;145;350;145;145;1;9;26076,118671
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;89;98;242;98;98;1;9;26188,545317
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;39;48;142;48;48;1;9;26282,406083
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;48;57;167;57;57;1;9;27633,154809
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;39;48;269;48;48;1;9;21295,598523
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;39;48;307;48;48;1;9;15274,990583
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;33;42;364;42;42;1;9;14785,636171
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;43;52;135;52;52;1;9;15192,690509
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;39;48;144;48;48;1;9;22872,579206
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;41;50;346;50;50;1;9;12777,911974
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;39;48;286;48;48;1;9;12326,220143
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node18;0;40;49;235;49;49;1;9;12592,183603
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node19;0;35;44;139;44;44;1;9;24978,952223
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node20;0;45;54;147;54;54;1;9;27640,513103
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node21;0;34;43;184;43;43;1;9;21340,206294
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node22;0;35;44;170;44;44;1;9;15302,545954
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node23;0;31;40;166;40;40;0;9;14790,100983
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node24;0;36;45;171;45;45;1;9;15231,432666
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node25;0;33;42;176;42;42;1;9;22884,484329
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node26;0;37;46;175;46;46;1;9;12809,496677
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node27;0;33;42;175;42;42;1;9;12339,008291
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node28;0;36;45;171;45;45;1;9;12618,668103
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node29;0;33;42;127;42;42;1;9;24993,118297
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node30;0;38;47;132;47;47;1;9;27655,321986
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node31;0;29;38;163;38;38;1;9;21344,838617
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node32;0;30;39;150;39;39;1;9;15306,156411
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node33;0;26;35;150;35;35;1;9;14791,648269
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node34;0;28;37;148;37;37;1;9;15233,375686
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node35;0;28;37;154;37;37;1;9;22894,886957
